200,1700,-1200,-500,\|

500|-670
500|-610
550|-610
550|-543
640|-543
640|-610
737|-610
737|-670
640|-670
640|-737
550|-737
550|-670
500|-670

1076|-780
1076|-720
1077|-720
1077|-659
1080|-659
1080|-656
1120|-656
1120|-720
1124|-720
1124|-780
1123|-780
1123|-830
1077|-830
1077|-800
1080|-800
1080|-780
1076|-780

1313|-960
1313|-920
1380|-920
1380|-873
1440|-873
1440|-920
1500|-920
1500|-900
1560|-900
1560|-920
1627|-920
1627|-960
1560|-960
1560|-1007
1497|-1007
1497|-1000
1500|-1000
1500|-960
1440|-960
1440|-1000
1443|-1000
1443|-1007
1380|-1007
1380|-960
1313|-960

297|-611
297|-610
300|-610
300|-613
299|-613
299|-611
297|-611

300|-610
300|-607
301|-607
301|-609
303|-609
303|-610
300|-610
